period,minute,possession,duration,season_id,match_id,timestamp,team,play_pattern,position,location_x,location_x_distance,location_y,location_y_distance,technique,body_part,type,is_penalty,is_header,first_time,open_goal,one_on_one,aerial_won,follows_dribble,under_pressure,pass_duration,pass_angle,pass_type,pass_height,pass_length,num_passes,defenders_3m_radius,defenders_triangle,goalkeeper_x,goalkeeper_y,distance_to_goalie,shooting_range,goal_distance,best_distance,statsbomb_xg,end_location_x,end_location_y,is_goal,shot_angle,good_foot,shots_so_far,xg_so_far,game_state,was_leading
2.0,45.0,88.0,1.144086,2015/2016,3890259.0,00:00:20.665,Hamburger SV,From Kick Off,Right Back,92.7,27.299999999999997,57.6,17.6,Normal,Right Foot,Open Play,False,False,False,False,False,False,False,False,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,2.0,0,2,118.8,41.2,30.824827655641478,11.87031498635671,32.481533215043896,30.499999999999996,0.008123498,120.0,42.6,False,-0.5024212700246308,False,0,0.0,0.0,0
1.0,3.0,11.0,0.950745,2015/2016,3890259.0,00:03:46.961,Hamburger SV,Regular Play,Left Center Midfield,105.2,14.799999999999997,28.1,11.899999999999999,Half Volley,Left Foot,Open Play,False,False,False,False,False,False,False,True,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,0.0,1,1,117.7,37.5,15.640012787718556,18.95948875111778,18.99078724013304,16.776471619503305,0.04022602,117.6,37.3,False,0.6383198080090459,False,1,0.008123498,0.0,0
2.0,50.0,97.0,0.998192,2015/2016,3890259.0,00:05:18.734,Bayern Munich,From Free Kick,Left Back,95.7,24.299999999999997,54.3,14.299999999999997,Normal,Left Foot,Free Kick,False,False,False,False,False,False,False,False,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,0.0,0,4,118.8,39.9,27.22076413328619,14.012358112085437,28.19538969406168,26.392802049043596,0.038846936,118.8,42.2,False,-0.4825132950224768,True,0,0.0,0.0,0
2.0,52.0,98.0,0.181537,2015/2016,3890259.0,00:07:02.388,Bayern Munich,From Throw In,Center Forward,107.3,12.700000000000003,43.4,3.3999999999999986,Half Volley,Right Foot,Open Play,False,False,True,False,False,False,False,False,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,4.0,1,2,118.5,41.8,11.313708498984765,32.93325449356813,13.147243057006289,12.700000000000003,0.14100806,120.0,43.6,True,0.015746729849869044,False,1,0.038846936,0.0,0
1.0,7.0,17.0,1.041799,2015/2016,3890259.0,00:07:19.683,Bayern Munich,From Throw In,Right Midfield,107.6,12.400000000000006,42.1,2.1000000000000014,Normal,Head,Open Play,False,True,False,False,True,False,False,False,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,1.0,0,1,114.2,40.8,6.726812023536865,34.90564743820029,12.576565508913797,12.400000000000006,0.10892223,120.0,45.9,False,0.2973651452239233,False,2,0.179854996,1.0,1
1.0,8.0,19.0,0.065009,2015/2016,3890259.0,00:08:19.383,Bayern Munich,Regular Play,Right Back,108.2,11.799999999999997,51.4,11.399999999999999,Normal,Right Foot,Open Play,False,False,False,False,False,False,False,False,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,1.0,2,2,117.2,42.2,12.870120434556933,20.446853810775163,16.407315441594942,13.928388277184116,0.045653418,109.6,50.2,False,-0.7086262721276715,False,3,0.288777226,1.0,1
2.0,54.0,101.0,2.461053,2015/2016,3890259.0,00:09:56.752,Bayern Munich,Regular Play,Center Defensive Midfield,56.2,63.8,39.3,0.7000000000000028,Lob,Right Foot,Open Play,False,False,False,False,False,False,False,False,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,3.0,0,1,112.8,39.0,56.6007950474196,7.1741744416085735,63.803840009830125,63.8,0.0033830546,120.0,39.4,False,0.0015673968355625915,True,4,0.334430644,1.0,1
1.0,16.0,35.0,1.592872,2015/2016,3890259.0,00:16:19.189,Bayern Munich,From Corner,Center Forward,112.2,7.799999999999997,39.3,0.7000000000000028,Normal,Head,Open Play,False,True,False,False,False,True,False,True,1.536592,1.7672105,Corner,High Pass,39.968487,1.0,2,1,119.1,40.6,7.021395872616776,54.00375849843611,7.83134726595622,7.799999999999997,0.103627205,120.0,64.8,False,1.2739516534184938,False,5,0.3378136986,1.0,1
2.0,63.0,120.0,0.165046,2015/2016,3890259.0,00:18:07.523,Bayern Munich,Regular Play,Left Midfield,91.4,28.599999999999994,28.8,11.2,Half Volley,Left Foot,Open Play,False,False,True,False,False,False,False,False,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,0.0,1,3,117.6,39.8,28.41548873413933,13.858758632909764,30.71481727114781,29.49237189511891,0.015444283,96.7,30.3,False,0.2758058985885226,False,6,0.4414409036,1.0,1
2.0,63.0,121.0,0.496189,2015/2016,3890259.0,00:18:52.350,Bayern Munich,From Corner,Right Back,105.4,14.599999999999994,51.7,11.700000000000003,Normal,Right Foot,Open Play,False,False,False,False,False,False,False,True,1.6447657891520246,-0.23189925137356762,Missing,Missing,32.23126429793736,4.0,1,1,117.1,43.2,14.461673485458027,19.272090190403667,18.709623192357455,16.506059493410287,0.117799476,116.4,42.2,False,-0.712357598094329,False,7,0.45688518659999994,1.0,1
